,Survived,Sex,Age,Pclass_1,Pclass_2,Pclass_3,Embarked_C,Embarked_Q,Embarked_S,FamilySize
0,0,1,22.0,0,0,1,0,0,1,2
1,1,0,38.0,1,0,0,1,0,0,2
2,1,0,26.0,0,0,1,0,0,1,1
3,1,0,35.0,1,0,0,0,0,1,2
4,0,1,35.0,0,0,1,0,0,1,1
5,0,1,29.69911764705882,0,0,1,0,1,0,1
6,0,1,54.0,1,0,0,0,0,1,1
7,0,1,2.0,0,0,1,0,0,1,5
8,1,0,27.0,0,0,1,0,0,1,3
9,1,0,14.0,0,1,0,1,0,0,2
10,1,0,4.0,0,0,1,0,0,1,3
11,1,0,58.0,1,0,0,0,0,1,1
12,0,1,20.0,0,0,1,0,0,1,1
13,0,1,39.0,0,0,1,0,0,1,7
14,0,0,14.0,0,0,1,0,0,1,1
15,1,0,55.0,0,1,0,0,0,1,1
16,0,1,2.0,0,0,1,0,1,0,6
17,1,1,29.69911764705882,0,1,0,0,0,1,1
18,0,0,31.0,0,0,1,0,0,1,2
19,1,0,29.69911764705882,0,0,1,1,0,0,1
20,0,1,35.0,0,1,0,0,0,1,1
21,1,1,34.0,0,1,0,0,0,1,1
22,1,0,15.0,0,0,1,0,1,0,1
23,1,1,28.0,1,0,0,0,0,1,1
24,0,0,8.0,0,0,1,0,0,1,5
25,1,0,38.0,0,0,1,0,0,1,7
26,0,1,29.69911764705882,0,0,1,1,0,0,1
27,0,1,19.0,1,0,0,0,0,1,6
28,1,0,29.69911764705882,0,0,1,0,1,0,1
29,0,1,29.69911764705882,0,0,1,0,0,1,1
30,0,1,40.0,1,0,0,1,0,0,1
31,1,0,29.69911764705882,1,0,0,1,0,0,2
32,1,0,29.69911764705882,0,0,1,0,1,0,1
33,0,1,66.0,0,1,0,0,0,1,1
34,0,1,28.0,1,0,0,1,0,0,2
35,0,1,42.0,1,0,0,0,0,1,2
36,1,1,29.69911764705882,0,0,1,1,0,0,1
37,0,1,21.0,0,0,1,0,0,1,1
38,0,0,18.0,0,0,1,0,0,1,3
39,1,0,14.0,0,0,1,1,0,0,2
40,0,0,40.0,0,0,1,0,0,1,2
41,0,0,27.0,0,1,0,0,0,1,2
42,0,1,29.69911764705882,0,0,1,1,0,0,1
43,1,0,3.0,0,1,0,1,0,0,4
44,1,0,19.0,0,0,1,0,1,0,1
45,0,1,29.69911764705882,0,0,1,0,0,1,1
46,0,1,29.69911764705882,0,0,1,0,1,0,2
47,1,0,29.69911764705882,0,0,1,0,1,0,1
48,0,1,29.69911764705882,0,0,1,1,0,0,3
49,0,0,18.0,0,0,1,0,0,1,2
50,0,1,7.0,0,0,1,0,0,1,6
51,0,1,21.0,0,0,1,0,0,1,1
52,1,0,49.0,1,0,0,1,0,0,2
53,1,0,29.0,0,1,0,0,0,1,2
54,0,1,65.0,1,0,0,1,0,0,2
55,1,1,29.69911764705882,1,0,0,0,0,1,1
56,1,0,21.0,0,1,0,0,0,1,1
57,0,1,28.5,0,0,1,1,0,0,1
58,1,0,5.0,0,1,0,0,0,1,4
59,0,1,11.0,0,0,1,0,0,1,8
60,0,1,22.0,0,0,1,1,0,0,1
61,1,0,38.0,1,0,0,0,0,1,1
62,0,1,45.0,1,0,0,0,0,1,2
63,0,1,4.0,0,0,1,0,0,1,6
64,0,1,29.69911764705882,1,0,0,1,0,0,1
65,1,1,29.69911764705882,0,0,1,1,0,0,3
66,1,0,29.0,0,1,0,0,0,1,1
67,0,1,19.0,0,0,1,0,0,1,1
68,1,0,17.0,0,0,1,0,0,1,7
69,0,1,26.0,0,0,1,0,0,1,3
70,0,1,32.0,0,1,0,0,0,1,1
71,0,0,16.0,0,0,1,0,0,1,8
72,0,1,21.0,0,1,0,0,0,1,1
73,0,1,26.0,0,0,1,1,0,0,2
74,1,1,32.0,0,0,1,0,0,1,1
75,0,1,25.0,0,0,1,0,0,1,1
76,0,1,29.69911764705882,0,0,1,0,0,1,1
77,0,1,29.69911764705882,0,0,1,0,0,1,1
78,1,1,0.83,0,1,0,0,0,1,3
79,1,0,30.0,0,0,1,0,0,1,1
80,0,1,22.0,0,0,1,0,0,1,1
81,1,1,29.0,0,0,1,0,0,1,1
82,1,0,29.69911764705882,0,0,1,0,1,0,1
83,0,1,28.0,1,0,0,0,0,1,1
84,1,0,17.0,0,1,0,0,0,1,1
85,1,0,33.0,0,0,1,0,0,1,4
86,0,1,16.0,0,0,1,0,0,1,5
87,0,1,29.69911764705882,0,0,1,0,0,1,1
88,1,0,23.0,1,0,0,0,0,1,6
89,0,1,24.0,0,0,1,0,0,1,1
